,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,10,1.8e-164,3e-160
UTY|7404,ENSG00000183878,UTY,7404,Y,8.2,4.6e-156,3.8e-152
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.9,1e-152,5.5e-149
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.6,3.8e-151,1.6e-147
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.5,4.7e-149,1.5e-145
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.9,1.3e-146,3.5e-143
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,5.1e-145,1.2e-141
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7.4,1.3e-142,2.7e-139
PRKY|5616,ENSG00000099725,PRKY,5616,Y,7.6,9.5e-140,1.7e-136
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.7,7.6e-135,1.2e-131
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,7.7,1.5e-112,2.2e-109
CYorf15B|84663,NA,NA,NA,NA,7.3,1.7e-105,2.4e-102
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.3,3.4e-103,4.3e-100
XIST|7503,ENSG00000229807,XIST,7503,X,-9.6,1.9e-97,2.2e-94
NCRNA00185|55410,NA,NA,NA,NA,4.7,9.6e-81,1e-77
TSIX|9383,ENSG00000270641,TSIX,9383,X,-7,1.1e-60,1.2e-57
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.6,2.7e-16,2.6e-13
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.46,9.6e-12,8.8e-09
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.52,5.5e-11,4.8e-08
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.63,3.7e-10,3.1e-07
UNC5D|137970,ENSG00000156687,UNC5D,137970,8,-2.5,1.8e-09,1.4e-06
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.5,2.7e-09,2.1e-06
DBF4B|80174,ENSG00000161692,DBF4B,80174,17,-0.56,7.8e-09,5.6e-06
CBX1|10951,ENSG00000108468,CBX1,10951,17,-0.41,8.6e-09,5.8e-06
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.59,8.8e-09,5.8e-06
OFD1|8481,ENSG00000046651,OFD1,8481,X,-0.46,9.5e-09,5.8e-06
EML6|400954,ENSG00000214595,EML6,400954,2,-1.2,9.5e-09,5.8e-06
SPESP1|246777,ENSG00000258484,SPESP1,246777,15,2,2.1e-08,1.3e-05
TYRO3|7301,ENSG00000092445,TYRO3,7301,15,-0.66,4.9e-08,2.8e-05
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.61,9e-08,4.9e-05
MYST2|11143,ENSG00000136504,KAT7,11143,17,-0.41,1.1e-07,6e-05
P2RY8|286530,ENSG00000182162,P2RY8,286530,X,0.99,1.3e-07,6.4e-05
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.52,1.4e-07,7.2e-05
MTMR4|9110,ENSG00000108389,MTMR4,9110,17,-0.45,1.7e-07,8.2e-05
SYT9|143425,ENSG00000170743,SYT9,143425,11,-1.7,1.9e-07,9e-05
MKS1|54903,ENSG00000011143,MKS1,54903,17,-0.35,2.8e-07,0.00013
C6orf147|387097,NA,NA,NA,NA,-1.1,4.4e-07,2e-04
C3orf67|200844,ENSG00000163689,C3orf67,200844,3,-1,4.8e-07,0.00021
SLC7A3|84889,ENSG00000165349,SLC7A3,84889,X,-2.4,5.6e-07,0.00024
IFNAR1|3454,ENSG00000142166,IFNAR1,3454,21,0.32,8.3e-07,0.00034
CDH24|64403,ENSG00000139880,CDH24,64403,14,-0.72,8.5e-07,0.00034
TXLNG|55787,ENSG00000086712,TXLNG,55787,X,-0.89,9.1e-07,0.00036
RIMS2|9699,ENSG00000176406,RIMS2,9699,8,-2.1,1.1e-06,0.00041
