ADAM23|8745,-0.54927290409315,5.28388149865856e-06,0.000231302570283756,ENSG00000114948,ADAM23,8745,2
APOB|338,0.522348314518347,0.000787670412594485,0.00953125478025793,ENSG00000084674,APOB,338,2
BCORL2|286554,1.61503649598488,5.24772754428014e-32,6.3540141072087e-29,ENSG00000215580,BCORP1,286554,Y
C11orf85|283129,0.881433521132331,2.61489376525019e-07,2.05094481433976e-05,ENSG00000168070,C11orf85,283129,11
CFTR|1080,-0.560778374991337,3.41968025983719e-05,0.00091864723903994,ENSG00000001626,CFTR,1080,7
CLDN16|10686,0.500206641041828,5.24113929966063e-07,3.60058835646544e-05,ENSG00000113946,CLDN16,10686,3
CLDN8|9073,-0.577197640914048,3.38195261864998e-05,0.000911245731308846,ENSG00000156284,CLDN8,9073,21
CYP4A11|1579,0.695280009384416,3.9460719053957e-07,2.82793927695551e-05,ENSG00000162365,CYP4A22,1579,1
CYorf15A|246126,3.16142503111939,4.53346706642485e-64,2.92756191592829e-60,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.18223269338606,1.20053230876638e-66,1.16289562088656e-62,NA,NA,NA,NA
DAZ1|1617,0.540378121843053,8.11865637942452e-07,5.1065821441101e-05,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.52301671078851,6.47087534345968e-33,8.35735120192295e-30,ENSG00000067048,DDX3Y,8653,Y
DDX43|55510,0.669969081185752,0.00258691468758954,0.0223235181481836,ENSG00000080007,DDX43,55510,6
ECEL1|9427,-0.603455631722952,2.81172129066314e-06,0.000137902472313967,ENSG00000171551,ECEL1,9427,2
EIF1AY|9086,3.44796372015609,8.27233930210437e-55,2.28942898999526e-51,ENSG00000198692,EIF1AY,9086,Y
FAM83A|84985,-0.561176393091679,1.49987951214913e-05,0.000497554208713445,ENSG00000147689,FAM83A,84985,8
GHRHR|2692,0.514603061225198,0.000120747005439745,0.0023580965084518,ENSG00000106128,GHRHR,2692,7
GPHA2|170589,0.785899597361914,1.28215805494334e-07,1.1553138603915e-05,ENSG00000149735,GPHA2,170589,11
GPR27|2850,-0.564020456122007,2.59552257625638e-07,2.04402678332581e-05,ENSG00000170837,GPR27,2850,3
GRIA4|2893,0.718248484494179,1.92907790385866e-05,0.0006057054494563,ENSG00000152578,GRIA4,2893,11
HHATL|57467,-0.552372363910971,0.000176229626480504,0.00312646204561062,ENSG00000010282,HHATL,57467,3
HIST1H4I|8294,0.637056815584982,5.96164217581142e-07,4.01873301234219e-05,ENSG00000276180,HIST1H4I,8294,6
HSFY2|159119,0.562825665887814,5.10689544115368e-09,7.97870043398953e-07,ENSG00000169953,HSFY2,159119,Y
IFITM5|387733,0.643234492664252,3.96847601527795e-05,0.00102581778879178,ENSG00000206013,IFITM5,387733,11
IGFBP1|3484,0.557038461713532,7.48142526534706e-05,0.00164889251041602,ENSG00000146678,IGFBP1,3484,7
KDM5D|8284,3.45075243774281,1.3640604880371e-36,1.88756741676734e-33,ENSG00000012817,KDM5D,8284,Y
KLK10|5655,-0.548473626135285,8.29413635959864e-05,0.00177777850048683,ENSG00000129451,KLK10,5655,19
KLK11|11012,-0.58463139658437,8.42590111862799e-06,0.000334497914695041,ENSG00000167757,KLK11,11012,19
KRTAP1-1|81851,-0.502192875685629,0.000302606441933482,0.00474988493648928,ENSG00000262808,KRTAP1-1,81851,CHR_HSCHR17_4_CTG4
LHB|3972,0.503173135176351,6.72606282573078e-06,0.000283886743187108,ENSG00000104826,LHB,3972,19
LRFN5|145581,0.693737780793644,1.43434063197128e-05,0.000483680729413326,ENSG00000165379,LRFN5,145581,14
LRIT2|340745,0.597050795793358,2.96542783270928e-06,0.000143411511143743,ENSG00000204033,LRIT2,340745,10
NCRNA00185|55410,1.97931061162859,7.51311423171928e-30,7.66060852689988e-27,NA,NA,NA,NA
NCRNA00230B|401629,1.3094353453867,4.0309934966438e-13,1.53122425510746e-10,NA,NA,NA,NA
NLGN4Y|22829,2.27282131659891,1.89852965124607e-42,3.0650179111325e-39,ENSG00000165246,NLGN4Y,22829,Y
OR2T10|127069,0.60646618401339,0.000252640195293337,0.00414077707564959,ENSG00000184022,OR2T10,127069,1
ORM1|5004,0.56895631058651,0.000435056157816578,0.00616557640481387,ENSG00000229314,ORM1,5004,9
PCDH11Y|83259,0.59806074449623,1.33259631735889e-07,1.18969532056192e-05,ENSG00000099715,PCDH11Y,83259,Y
PGA3|643834,0.6393851332302,2.92813220695606e-05,0.000824516064612786,ENSG00000229859,PGA3,643834,11
PGA5|5222,0.694951446663794,4.11272944874337e-06,0.000187472723789424,ENSG00000256713,PGA5,5222,11
PRKY|5616,1.51844802009215,5.7253607123562e-47,1.10917413080477e-43,ENSG00000099725,PRKY,5616,Y
PRSSL1|400668,0.602829991822241,1.01408260843265e-06,6.1011870724117e-05,ENSG00000185198,PRSS57,400668,19
PTCHD1|139411,-0.687354968659976,7.60223388784408e-05,0.00166604159625796,ENSG00000165186,PTCHD1,139411,X
REG1B|5968,0.592210066091688,0.000916102764116717,0.0106090378406645,ENSG00000172023,REG1B,5968,2
REG3G|130120,0.506759812882946,0.00382136564662566,0.0293912123400145,ENSG00000143954,REG3G,130120,2
RPS4Y1|6192,3.28002439301572,5.33094218303318e-18,2.79125251113248e-15,ENSG00000129824,RPS4Y1,6192,Y
RSPH6A|81492,0.536981485100895,0.000140355620284624,0.00265827182568106,ENSG00000104941,RSPH6A,81492,19
SLC36A2|153201,0.515723491657337,0.000156599184280631,0.00286748203881726,ENSG00000186335,SLC36A2,153201,5
SLC6A18|348932,0.509070608110263,0.000171362156847987,0.00306537309752176,ENSG00000164363,SLC6A18,348932,5
SNTG2|54221,0.633938164502708,0.00036641304133736,0.00547182755058294,ENSG00000281020,SNTG2,54221,CHR_HSCHR2_4_CTG1
SRD5A2|6716,-0.600188067922203,9.43333059145327e-06,0.000365503827096449,ENSG00000277893,SRD5A2,6716,2
TAC1|6863,-0.508799678592076,0.000593596280476886,0.00774393315937961,ENSG00000006128,TAC1,6863,7
TBL1Y|90665,0.773883728703411,5.9115648884257e-11,1.6130245997672e-08,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,2.59123148749468,3.51160911808314e-58,1.36060806889249e-54,ENSG00000154620,TMSB4Y,9087,Y
TREX2|11219,0.539920344493917,1.4137921334405e-08,1.8632241497376e-06,ENSG00000183479,TREX2,11219,X
TSIX|9383,-2.78565104851273,2.09882742844349e-56,6.77676396187264e-53,ENSG00000270641,TSIX,9383,X
TTLL2|83887,0.519489990839377,1.97446586342635e-07,1.65590160918436e-05,ENSG00000120440,TTLL2,83887,6
TTR|7276,0.557738429523125,0.00056616075946691,0.0075176370069585,ENSG00000118271,TTR,7276,18
TTTY10|246119,0.543307938659105,2.41960243518053e-09,4.1482263696241e-07,ENSG00000229236,TTTY10,246119,Y
